step,degree_histogram, , , , ,levenshtein_distance,mesh_distance,action,action_letters,reward
5,[4,0,0,0, 0],3,1,1,t,-61
5,[4,0,0,0, 0],3,1,2,tp,-61
5,[4,0,0,0, 0],2,1,0,tpa,-54
5,[4,0,0,0, 0],3,1,2,tpap,-61
5,[4,0,0,0, 0],4,1,1,tpapt,-70
3,[4,0,0,0, 0],4,1,2,p,-70
3,[4,0,0,0, 0],3,1,0,pa,-61
3,[4,0,0,0, 0],4,1,0,paa,-500
2,[4,0,0,0, 0],3,1,0,a,-61
2,[4,0,0,0, 0],4,1,0,aa,-500
5,[4,0,0,0, 0],3,1,1,t,-61
5,[4,0,0,0, 0],3,1,2,tp,-61
5,[4,0,0,0, 0],3,1,1,tpt,-61
5,[4,0,0,0, 0],3,1,1,tptt,-61
5,[4,0,0,0, 0],4,1,0,tptta,-54
5,[4,0,0,0, 0],3,1,1,t,-61
5,[4,0,0,0, 0],2,1,1,tt,-54
5,[4,0,0,0, 0],2,1,1,ttt,-54
5,[4,0,0,0, 0],1,1,0,ttta,-49
5,[4,0,0,0, 0],4,1,2,tttap,-54
5,[4,0,0,0, 0],4,1,2,p,-70
5,[4,0,0,0, 0],4,1,2,pp,-70
5,[4,0,0,0, 0],3,1,0,ppa,-61
5,[4,0,0,0, 0],4,1,1,ppat,-70
5,[4,0,0,0, 0],4,1,2,ppatp,-70
5,[4,0,0,0, 0],3,1,0,a,-61
5,[4,0,0,0, 0],3,1,2,ap,-61
5,[4,0,0,0, 0],3,1,2,app,-61
5,[4,0,0,0, 0],3,1,1,appt,-61
5,[4,0,0,0, 0],4,1,0,appta,-29
4,[4,0,0,0, 0],3,1,1,t,-61
4,[4,0,0,0, 0],2,1,0,ta,-54
4,[4,0,0,0, 0],3,1,2,tap,-61
4,[4,0,0,0, 0],4,1,0,tapa,-500
4,[4,0,0,0, 0],4,1,2,p,-70
4,[4,0,0,0, 0],4,1,2,pp,-70
4,[4,0,0,0, 0],3,1,0,ppa,-61
4,[4,0,0,0, 0],4,1,0,ppaa,-500
2,[4,0,0,0, 0],3,1,0,a,-61
2,[4,0,0,0, 0],4,1,0,aa,-500
3,[4,0,0,0, 0],3,1,0,a,-61
3,[4,0,0,0, 0],3,1,2,ap,-61
3,[4,0,0,0, 0],4,1,0,apa,-500
5,[4,0,0,0, 0],4,1,2,p,-70
5,[4,0,0,0, 0],3,1,1,pt,-61
5,[4,0,0,0, 0],2,1,0,pta,-54
5,[4,0,0,0, 0],3,1,2,ptap,-61
5,[4,0,0,0, 0],4,1,0,ptapa,-500
5,[4,0,0,0, 0],4,1,2,p,-70
5,[4,0,0,0, 0],4,1,2,pp,-70
5,[4,0,0,0, 0],3,1,0,ppa,-61
5,[4,0,0,0, 0],4,1,1,ppat,-70
5,[4,0,0,0, 0],4,1,0,ppata,-34
2,[4,0,0,0, 0],3,1,0,a,-61
2,[4,0,0,0, 0],4,1,0,aa,-500
5,[4,0,0,0, 0],4,1,2,p,-70
5,[4,0,0,0, 0],3,1,1,pt,-61
5,[4,0,0,0, 0],3,1,2,ptp,-61
5,[4,0,0,0, 0],3,1,1,ptpt,-61
5,[4,0,0,0, 0],4,1,0,ptpta,-54
2,[4,0,0,0, 0],3,1,0,a,-61
2,[4,0,0,0, 0],4,1,0,aa,-500
5,[4,0,0,0, 0],3,1,1,t,-61
5,[4,0,0,0, 0],2,1,1,tt,-54
5,[4,0,0,0, 0],1,1,0,tta,-49
5,[4,0,0,0, 0],2,1,1,ttat,-54
5,[4,0,0,0, 0],4,1,2,ttatp,-61
5,[4,0,0,0, 0],4,1,2,p,-70
5,[4,0,0,0, 0],3,1,1,pt,-61
5,[4,0,0,0, 0],3,1,2,ptp,-61
5,[4,0,0,0, 0],2,1,0,ptpa,-54
5,[4,0,0,0, 0],4,1,2,ptpap,-61
2,[4,0,0,0, 0],3,1,0,a,-61
2,[4,0,0,0, 0],4,1,0,aa,-500
3,[4,0,0,0, 0],4,1,2,p,-70
3,[4,0,0,0, 0],3,1,0,pa,-61
3,[4,0,0,0, 0],4,1,0,paa,-500
5,[4,0,0,0, 0],3,1,1,t,-61
5,[4,0,0,0, 0],2,1,1,tt,-54
5,[4,0,0,0, 0],2,1,1,ttt,-54
5,[4,0,0,0, 0],2,1,2,tttp,-54
5,[4,0,0,0, 0],4,1,0,tttpa,-54
5,[4,0,0,0, 0],4,1,2,p,-70
5,[4,0,0,0, 0],4,1,2,pp,-70
5,[4,0,0,0, 0],4,1,2,ppp,-70
5,[4,0,0,0, 0],4,1,1,pppt,-70
5,[4,0,0,0, 0],4,1,2,ppptp,-70
5,[4,0,0,0, 0],4,1,2,p,-70
5,[4,0,0,0, 0],3,1,1,pt,-61
5,[4,0,0,0, 0],2,1,1,ptt,-54
5,[4,0,0,0, 0],2,1,2,pttp,-54
5,[4,0,0,0, 0],4,1,1,pttpt,-61
5,[4,0,0,0, 0],3,1,0,a,-61
5,[4,0,0,0, 0],2,1,1,at,-54
5,[4,0,0,0, 0],2,1,2,atp,-54
5,[4,0,0,0, 0],2,1,2,atpp,-54
5,[4,0,0,0, 0],4,1,2,atppp,-61
5,[4,0,0,0, 0],4,1,2,p,-70
5,[4,0,0,0, 0],3,1,0,pa,-61
5,[4,0,0,0, 0],3,1,1,pat,-61
5,[4,0,0,0, 0],2,1,1,patt,-54
5,[4,0,0,0, 0],4,1,2,pattp,-54
5,[4,0,0,0, 0],3,1,1,t,-61
5,[4,0,0,0, 0],2,1,1,tt,-54
5,[4,0,0,0, 0],2,1,1,ttt,-54
5,[4,0,0,0, 0],1,1,0,ttta,-49
5,[4,0,0,0, 0],4,1,2,tttap,-54
5,[4,0,0,0, 0],4,1,2,p,-70
5,[4,0,0,0, 0],3,1,1,pt,-61
5,[4,0,0,0, 0],2,1,1,ptt,-54
5,[4,0,0,0, 0],2,1,1,pttt,-54
5,[4,0,0,0, 0],4,1,0,pttta,-54
5,[4,0,0,0, 0],4,1,2,p,-70
5,[4,0,0,0, 0],3,1,1,pt,-61
5,[4,0,0,0, 0],3,1,2,ptp,-61
5,[4,0,0,0, 0],3,1,1,ptpt,-61
5,[4,0,0,0, 0],4,1,0,ptpta,-54
5,[4,0,0,0, 0],4,1,2,p,-70
5,[4,0,0,0, 0],4,1,2,pp,-70
5,[4,0,0,0, 0],3,1,1,ppt,-61
5,[4,0,0,0, 0],3,1,1,pptt,-61
5,[4,0,0,0, 0],4,1,2,ppttp,-61
5,[4,0,0,0, 0],3,1,0,a,-61
5,[4,0,0,0, 0],2,1,1,at,-54
5,[4,0,0,0, 0],2,1,2,atp,-54
5,[4,0,0,0, 0],2,1,2,atpp,-54
5,[4,0,0,0, 0],4,1,0,atppa,-29
4,[4,0,0,0, 0],3,1,1,t,-61
4,[4,0,0,0, 0],2,1,0,ta,-54
4,[4,0,0,0, 0],3,1,2,tap,-61
4,[4,0,0,0, 0],4,1,0,tapa,-500
3,[4,0,0,0, 0],3,1,1,t,-61
3,[4,0,0,0, 0],2,1,0,ta,-54
3,[4,0,0,0, 0],4,1,0,taa,-500
5,[4,0,0,0, 0],3,1,0,a,-61
5,[4,0,0,0, 0],3,1,2,ap,-61
5,[4,0,0,0, 0],3,1,2,app,-61
5,[4,0,0,0, 0],3,1,1,appt,-61
5,[4,0,0,0, 0],4,1,1,apptt,-61
3,[4,0,0,0, 0],3,1,1,t,-61
3,[4,0,0,0, 0],2,1,0,ta,-54
3,[4,0,0,0, 0],4,1,0,taa,-500
5,[4,0,0,0, 0],3,1,1,t,-61
5,[4,0,0,0, 0],3,1,2,tp,-61
5,[4,0,0,0, 0],3,1,2,tpp,-61
5,[4,0,0,0, 0],3,1,0,tppa,-61
5,[4,0,0,0, 0],4,1,1,tppat,-70
5,[4,0,0,0, 0],4,1,2,p,-70
5,[4,0,0,0, 0],3,1,0,pa,-61
5,[4,0,0,0, 0],3,1,1,pat,-61
5,[4,0,0,0, 0],2,1,1,patt,-54
5,[4,0,0,0, 0],4,1,0,patta,-14
3,[4,0,0,0, 0],3,1,1,t,-61
3,[4,0,0,0, 0],2,1,0,ta,-54
3,[4,0,0,0, 0],4,1,0,taa,-500
5,[4,0,0,0, 0],3,1,0,a,-61
5,[4,0,0,0, 0],2,1,1,at,-54
5,[4,0,0,0, 0],2,1,2,atp,-54
5,[4,0,0,0, 0],2,1,2,atpp,-54
5,[4,0,0,0, 0],4,1,0,atppa,-29
5,[4,0,0,0, 0],4,1,2,p,-70
5,[4,0,0,0, 0],4,1,2,pp,-70
5,[4,0,0,0, 0],3,1,1,ppt,-61
5,[4,0,0,0, 0],3,1,1,pptt,-61
5,[4,0,0,0, 0],4,1,1,ppttt,-61
5,[4,0,0,0, 0],3,1,1,t,-61
5,[4,0,0,0, 0],3,1,2,tp,-61
5,[4,0,0,0, 0],3,1,1,tpt,-61
5,[4,0,0,0, 0],3,1,2,tptp,-61
5,[4,0,0,0, 0],4,1,1,tptpt,-70
5,[4,0,0,0, 0],3,1,0,a,-61
5,[4,0,0,0, 0],2,1,1,at,-54
5,[4,0,0,0, 0],2,1,2,atp,-54
5,[4,0,0,0, 0],2,1,2,atpp,-54
5,[4,0,0,0, 0],4,1,1,atppt,-61
5,[4,0,0,0, 0],4,1,2,p,-70
5,[4,0,0,0, 0],3,1,1,pt,-61
5,[4,0,0,0, 0],2,1,1,ptt,-54
5,[4,0,0,0, 0],2,1,1,pttt,-54
5,[4,0,0,0, 0],4,1,0,pttta,-54
