reward, length,actions
-0.9800000004470348,3,tat
-0.9400000013411045,7,appatat
-0.9700000006705523,4,tpat
-0.9900000002235174,2,at
0.19999999552965164,20,apattapaaappappapaaa
-0.9500000011175871,6,taaapt
-0.9000000022351742,11,aaapaaatapt
-0.9700000006705523,4,tpat
-0.9800000004470348,3,tat
-0.8600000031292439,15,tpaapaaptptappt
-0.8900000024586916,12,tapapttaapat
-0.9600000008940697,5,aatat
-0.9700000006705523,4,papt
-0.9000000022351742,11,tptaatpappt
-0.9800000004470348,3,tat
-0.9200000017881393,9,pttaatapt
-0.9800000004470348,3,tat
-0.8900000024586916,12,ppptaataatat
-0.9400000013411045,7,aapppat
-0.9600000008940697,5,taaat
-0.9600000008940697,5,aapat
-0.9500000011175871,6,aaptat
-0.9800000004470348,3,pat
-0.9500000011175871,6,aaaaat
-0.9100000020116568,10,ptpaatappt
-0.9700000006705523,4,ttat
-0.9800000004470348,3,pat
-0.8400000035762787,17,aaaapptaaaapaaapt
-0.9800000004470348,3,tat
-0.9400000013411045,7,tttaaat
0.19999999552965164,20,ttpaappaataaaapaaapa
-0.8700000029057264,14,ttpaapaaaappat
-0.8500000033527613,16,tpaattpaaapaappt
-0.9400000013411045,7,aaapaat
-0.9300000015646219,8,aaaapapt
-0.9200000017881393,9,paapaaapt
0.19999999552965164,20,ppttappappappaappppa
-0.9700000006705523,4,tpat
0.19999999552965164,20,pppapatttaappppppppp
-0.9300000015646219,8,ppappppt
-0.9600000008940697,5,pppat
-0.9100000020116568,10,ppttpapppt
-0.9200000017881393,9,ptppppapt
-0.9200000017881393,9,aaaaaapat
-0.9900000002235174,2,at
-0.9200000017881393,9,tpaapappt
-0.9100000020116568,10,aaptaaaaat
0.19999999552965164,20,aattaaptapatapapaaaa
-0.9900000002235174,2,at
-0.9300000015646219,8,aataaapt
-0.9200000017881393,9,aattpappt
0.19999999552965164,20,aaaatapaaaapatppaatt
0.19999999552965164,20,aapaaaattappapttapaa
-0.9300000015646219,8,aaapatat
0.19999999552965164,20,aapaaaaaappppppapapp
0.19999999552965164,20,pppapppppppapapatppp
-0.9500000011175871,6,tpappt
0.19999999552965164,20,ptppppappaaapaapaaaa
-0.8700000029057264,14,pptaaaaaaaaapt
0.19999999552965164,20,ppaaaattaaaaapataaap
-0.9100000020116568,10,apataaaaat
-0.9500000011175871,6,appppt
-0.9300000015646219,8,ppppppat
0.19999999552965164,20,pptttttppppppppppppp
-0.8500000033527613,16,pppppapaptappppt
-0.9300000015646219,8,ppappppt
-0.9700000006705523,4,ppat
-0.9400000013411045,7,ppptapt
0.19999999552965164,20,apppppapaaapatapapaa
-0.8500000033527613,16,aaaaaaaaaaapapat
-0.8500000033527613,16,aaapaaaaaaaapaat
-0.9900000002235174,2,at
0.19999999552965164,20,aapapapppppppppppppp
0.19999999552965164,20,tpppppptttpppppppppp
-0.8200000040233135,19,pppappppaapappapppt
-0.8600000031292439,15,pptppppppppppat
0.19999999552965164,20,pppppppppppaaaaaaapa
0.19999999552965164,20,aaaaaaaaaaaaaaaataaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
-0.8100000042468309,20,paaaaaaaataaaaaaaaat
0.19999999552965164,20,aaaaaaaaaaaaaaapaaaa
0.19999999552965164,20,apapaaaaaaaaaapaaaat
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,tpappppppppppppppppp
0.19999999552965164,20,pppppppppppppppptapp
0.19999999552965164,20,ppppaaaaaaaaaaaaaaaa
-0.9100000020116568,10,aaaaaaaaat
-0.8500000033527613,16,aaaaaaaaaaaaaaat
0.19999999552965164,20,aaaaaaaaaaaaaaaaaapt
-0.8200000040233135,19,apppppppppppppppppt
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,pppppppppppaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaatp
0.19999999552965164,20,pppppppaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaapaaaa
0.19999999552965164,20,aaaaaaappppppppppppp
0.19999999552965164,20,pppppppppppppppppppp
-0.8700000029057264,14,pppaaapppppppt
0.19999999552965164,20,pppppppapppppppppppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,paaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaapaaaaaaaa
0.19999999552965164,20,aaaaaataaaaaaaapaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
-0.8100000042468309,20,appppppppppppppppppt
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,pppppppppaaaaaaapaap
0.19999999552965164,20,aaaaaaaaaaapaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaappppppp
-0.9800000004470348,3,pat
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,ppppppppppppppppppaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aapppppppppptppppppp
0.19999999552965164,20,ppppppppppppppaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaapp
0.19999999552965164,20,pppppppppppppppapppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,ppppappppppppppppppp
-0.9500000011175871,6,appppt
0.19999999552965164,20,ppppppppptpppppppppp
0.19999999552965164,20,ppppppppttppaaaapppp
0.19999999552965164,20,appppppppppppppppppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,ppppppppppppptpppppp
0.19999999552965164,20,ppppppptpppppppppppp
0.19999999552965164,20,ppppppppaaaaaaaaaapa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaataaa
0.19999999552965164,20,aaaapppppppppppppppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,tpppaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaapppppppppppppppp
0.19999999552965164,20,pppppppppppppppapppp
0.19999999552965164,20,ppppaaaaaaaaaaaaaata
0.19999999552965164,20,aapaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaapppppppapppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,ppppppppppppppppaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,ppptpppppppppppppppp
0.19999999552965164,20,taaaataaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaapppppppppppp
0.19999999552965164,20,pppppppppptpttpppppp
0.19999999552965164,20,ppapppppaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaapaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aapaapppappppppppppp
0.19999999552965164,20,ppppptpppppppppppppp
0.19999999552965164,20,pptppppppppppppppppp
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
-0.9300000015646219,8,aaaaaaat
0.19999999552965164,20,aaaaaaaaaaaaaaapaaaa
0.19999999552965164,20,paaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaapppppppppppp
0.19999999552965164,20,ppppppppptpppppppppp
0.19999999552965164,20,ppppppppppppaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaapppp
0.19999999552965164,20,ppppppppppppppppappp
0.19999999552965164,20,pppppppppppppppppppa
0.19999999552965164,20,ppppppppppppaaaaaaaa
-0.8900000024586916,12,aaaaaaaaaaat
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaataaaaaaaaaaa
0.19999999552965164,20,aaaapaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaapapppppppp
0.19999999552965164,20,pppppppppapppppppppp
0.19999999552965164,20,ppppappppppppppppppp
0.19999999552965164,20,ppppppppppppppppaaaa
0.19999999552965164,20,aaapaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaapppppppp
0.19999999552965164,20,ppppppppppppaaaaaaaa
0.19999999552965164,20,taaaaaaaaaaaaaaapppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,ppppppppaaaaaaaaaapa
0.19999999552965164,20,aataaaapaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaapppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,ppppppppppppppppaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaapppt
0.19999999552965164,20,ppppaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaapaaaaaaaaaaaaaaaa
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,ppppppppppppaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aapapaaaaaaaaaaapppp
0.19999999552965164,20,pappppppappppppppppp
0.19999999552965164,20,ppppppppppppppapaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaapaaaa
0.19999999552965164,20,aaaaaaaaaaaapppppppp
0.19999999552965164,20,ppppppapappppppppppp
0.19999999552965164,20,ppppaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaapppa
0.19999999552965164,20,ppppptpppppppppppppp
0.19999999552965164,20,pppppappppppppppaaaa
0.19999999552965164,20,aaaaaataaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaappptpppp
0.19999999552965164,20,pppppppptppppppppppp
0.19999999552965164,20,pppppppppppptaaaaaaa
0.19999999552965164,20,aaaaaaaapppppppppppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,ppppppppapaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,ppppaaaaaaaaaaaapppp
0.19999999552965164,20,aaaaaaaaaaaaaaaapaaa
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,ppppaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaapaaaaaaaaaaaaa
0.19999999552965164,20,ppppppptppppappppppp
0.19999999552965164,20,ppptppppppppaaaaaaaa
0.19999999552965164,20,aaaaaaaapppppapppppp
0.19999999552965164,20,pppppppapappaaaaaaaa
0.19999999552965164,20,aaaaaaaapaaaaaaaaaaa
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,ppppppppppptpppppppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,pppppppppppppppppptp
0.19999999552965164,20,pppppppppppppptpptpp
0.19999999552965164,20,ppppaaaaaaaaaaaaapaa
0.19999999552965164,20,aaaaaaaaapataaaaaaaa
0.19999999552965164,20,aaaapppppppppppppppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,ppppppppppppppppaata
0.19999999552965164,20,aaaappppaaaaaaaaaaaa
-0.9900000002235174,2,at
0.19999999552965164,20,apaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aapppppapppppppppppp
0.19999999552965164,20,pppppppppptppppppppp
0.19999999552965164,20,ppppppppppaaaaaaaapa
-0.9100000020116568,10,aaaaaaaaat
0.19999999552965164,20,aaaaaapaaaaaaaaaaaaa
0.19999999552965164,20,aataaaaaaaaaaaaapppp
-0.9000000022351742,11,pppppappppt
0.19999999552965164,20,pppppppppppppaaaaaaa
0.19999999552965164,20,aaaaaaaaaapaaaaapaaa
0.19999999552965164,20,aaaaaaaapaaaaaaaappp
0.19999999552965164,20,pppppppppptppppppppp
0.19999999552965164,20,pppppppptppppppppppp
-0.9200000017881393,9,ppppppapt
0.19999999552965164,20,aaaapaaaaaaaaaaapppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,ppppppppppppaaaaaaaa
-0.9500000011175871,6,aaaaat
0.19999999552965164,20,aaaaaaaaaaaapapppppp
0.19999999552965164,20,ppppppppappppppppppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,pppppppppppaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
-0.8100000042468309,20,aapppppppppapppppppt
0.19999999552965164,20,pppppppptpaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaapaaaapaaaa
0.19999999552965164,20,aaaaaaaaaapppppppppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,ppppppppppppppppppaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
-0.8500000033527613,16,aaaaaaaaaaaaaaat
0.19999999552965164,20,tapppppppppppppppppp
0.19999999552965164,20,ppppppaaaapaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaapaaaaataaaa
-0.9900000002235174,2,at
0.19999999552965164,20,aaaapppppppppppppppp
0.19999999552965164,20,ppppppppppppaaaaaaaa
0.19999999552965164,20,aaaaaaaaapaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaatppppppp
0.19999999552965164,20,ppppaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaapppppppppppppppp
0.19999999552965164,20,pppppppppppppptppppp
0.19999999552965164,20,ppppaaaaaaaataaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,ppppppppaaaaapaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaapppp
0.19999999552965164,20,pppppppppppppppppppp
-0.9700000006705523,4,aaat
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaapppppppp
0.19999999552965164,20,ppppppppppppppppaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaappppppppppppptpp
0.19999999552965164,20,ptpppppppppppppppppp
0.19999999552965164,20,pppappppaaaaaaaaaapa
0.19999999552965164,20,aaaaaaaapppppppppppp
0.19999999552965164,20,ppapappppppppppppppp
0.19999999552965164,20,ppppaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaapppppppppppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
-0.9900000002235174,2,at
0.19999999552965164,20,aaaaaaaaaaaaaaaaaapp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,ppppapppppppppaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaataaaaa
0.19999999552965164,20,aaaaaaaaaapppppptppp
0.19999999552965164,20,pppppppppppppappappp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,ppppppppptppppapaapa
0.19999999552965164,20,aaaaaaaaaaaaaataaaaa
0.19999999552965164,20,aataaaaaaaaaaaaaaapp
0.19999999552965164,20,appppppppppppppppaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,paaaaaaaaaaaaapppppp
0.19999999552965164,20,ppppppppppppppppppaa
0.19999999552965164,20,aaaaapaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaapppppp
0.19999999552965164,20,ppppppppppppppaaaaaa
0.19999999552965164,20,aaaaaaaaaaaatapppppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,ppaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaapppppppppppppp
0.19999999552965164,20,ppppppppppppppppppaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaapapppppppppp
0.19999999552965164,20,ppppppppppppppaapaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aapaaaaaaappppappppp
0.19999999552965164,20,ppppppppppppppppppaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaapppppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,ppppppppppaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaapp
0.19999999552965164,20,pptppppppppppppppppp
0.19999999552965164,20,pppppppptpaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aapppppppppppppppppp
0.19999999552965164,20,ppppppaaaaapaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaappppp
0.19999999552965164,20,pppppptppppppppppppp
0.19999999552965164,20,ppppppppppaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaataaaaaaaaa
0.19999999552965164,20,aapppppppppppppppppp
0.19999999552965164,20,ppppppppppaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaapp
0.19999999552965164,20,ppppppppppppppaaapaa
0.19999999552965164,20,aaapaappppaaaaaaaaaa
-0.9700000006705523,4,aaat
0.19999999552965164,20,aaaaaapppppppppppppp
-0.8700000029057264,14,pppppppapppppt
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,pppppppaaaaaaaaaaaaa
0.19999999552965164,20,aaaapppppppppppppppp
0.19999999552965164,20,ppptpppppppppppppppp
0.19999999552965164,20,ppppaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaapaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaapppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,ppppppppppptpppppppp
0.19999999552965164,20,pppppppppptppppppppp
0.19999999552965164,20,pppppppppapppppppppp
0.19999999552965164,20,ppppppppppppppppaaaa
0.19999999552965164,20,aapaaaaapaaaaaaaaaaa
0.19999999552965164,20,aaaapptppppppppppppp
0.19999999552965164,20,ppppppppppppppppaaaa
-0.8200000040233135,19,aaaataaaaaaaaaaaaat
0.19999999552965164,20,aaaapaaaaaaaaaaaaaaa
0.19999999552965164,20,appppppppppppppppppp
0.19999999552965164,20,paaaappppppppppppppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,paaaappppppppppppppp
0.19999999552965164,20,pppppppppppppppppppp
0.19999999552965164,20,pppppppppptpppapppap
0.19999999552965164,20,paaaaaaaaaaaaaaaaaaa
0.19999999552965164,20,aataaaaaaaaaaaaaaaaa
0.19999999552965164,20,aaaaappppapppppppppp
0.19999999552965164,20,pppppppppppppppppptp
