reward,length,actions,levenshtein_distance,mesh_distance
-277.0,5,atptp,4.0,1.0
-631.0,3,paa,4.0,1.0
-676.0,4,tpaa,4.0,1.0
-721.0,5,patap,4.0,1.0
-683.0,4,appa,4.0,1.0
-561.0,2,aa,4.0,1.0
-323.0,5,ptppt,4.0,1.0
-293.0,5,pttta,4.0,1.0
-350.0,5,ppppa,4.0,1.0
-685.0,4,ptaa,4.0,1.0
-622.0,3,apa,4.0,1.0
-561.0,2,aa,4.0,1.0
-279.0,5,ttapt,4.0,1.0
-191.0,5,attaa,4.0,1.0
-204.0,5,atapp,4.0,1.0
-307.0,5,tpatp,4.0,1.0
-352.0,5,ppapp,4.0,1.0
-561.0,2,aa,4.0,1.0
-323.0,5,ppttt,4.0,1.0
-305.0,5,tpttp,4.0,1.0
-316.0,5,ptapp,4.0,1.0
-316.0,5,pptat,4.0,1.0
-561.0,2,aa,4.0,1.0
-771.0,5,pappa,4.0,1.0
-196.0,5,ataap,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-685.0,4,ptaa,4.0,1.0
-314.0,5,ptptt,4.0,1.0
-676.0,4,tpaa,4.0,1.0
-341.0,5,pppat,4.0,1.0
-734.0,5,pttaa,4.0,1.0
-267.0,5,attpt,4.0,1.0
-279.0,5,ttapt,4.0,1.0
-300.0,5,ptttt,4.0,1.0
-771.0,5,ppapa,4.0,1.0
-723.0,5,ttpaa,4.0,1.0
-277.0,5,atptt,4.0,1.0
-272.0,5,tttat,4.0,1.0
-622.0,3,apa,4.0,1.0
-298.0,5,tptta,4.0,1.0
-271.0,5,tpata,4.0,1.0
-284.0,5,ttpta,4.0,1.0
-744.0,5,tppaa,4.0,1.0
-307.0,5,ptpta,4.0,1.0
-300.0,5,ptttt,4.0,1.0
-298.0,5,tptta,4.0,1.0
-341.0,5,pppta,4.0,1.0
-316.0,5,tappp,4.0,1.0
-279.0,5,ttatt,4.0,1.0
-279.0,5,ttatt,4.0,1.0
-244.0,5,tatta,4.0,1.0
-746.0,5,tappa,4.0,1.0
-298.0,5,tpatt,4.0,1.0
-771.0,5,ppapa,4.0,1.0
-284.0,5,ttttp,4.0,1.0
-191.0,5,attat,4.0,1.0
-284.0,5,ttttt,4.0,1.0
-615.0,3,taa,4.0,1.0
-277.0,5,tttpa,4.0,1.0
-227.0,5,attpa,4.0,1.0
-234.0,5,tataa,4.0,1.0
-305.0,5,tpttp,4.0,1.0
-718.0,5,tttaa,4.0,1.0
-631.0,3,paa,4.0,1.0
-298.0,5,tpatt,4.0,1.0
-239.0,5,tatat,4.0,1.0
-191.0,5,attaa,4.0,1.0
-300.0,5,ptttp,4.0,1.0
-275.0,5,ptata,4.0,1.0
-284.0,5,apttp,4.0,1.0
-223.0,5,attta,4.0,1.0
-718.0,5,tttaa,4.0,1.0
-300.0,5,ptttt,4.0,1.0
-284.0,5,tttpt,4.0,1.0
-561.0,2,aa,4.0,1.0
-191.0,5,attaa,4.0,1.0
-664.0,4,ttaa,4.0,1.0
-664.0,4,ttaa,4.0,1.0
-664.0,4,ttaa,4.0,1.0
-314.0,5,ptptp,4.0,1.0
-667.0,5,ataaa,4.0,1.0
-718.0,5,tttaa,4.0,1.0
-314.0,5,ptptt,4.0,1.0
-244.0,5,tatta,4.0,1.0
-664.0,4,ttaa,4.0,1.0
-561.0,2,aa,4.0,1.0
-244.0,5,atpat,4.0,1.0
-247.0,5,ttata,4.0,1.0
-314.0,5,ptptt,4.0,1.0
-615.0,3,taa,4.0,1.0
-204.0,5,atapp,4.0,1.0
-298.0,5,tatpp,4.0,1.0
-615.0,3,taa,4.0,1.0
-734.0,5,pttaa,4.0,1.0
-561.0,2,aa,4.0,1.0
-622.0,3,apa,4.0,1.0
-615.0,3,taa,4.0,1.0
-615.0,3,taa,4.0,1.0
-664.0,4,ttaa,4.0,1.0
-701.0,4,papa,4.0,1.0
-305.0,5,tptpa,4.0,1.0
-246.0,5,atpta,4.0,1.0
-615.0,3,taa,4.0,1.0
-631.0,3,paa,4.0,1.0
-622.0,3,apa,4.0,1.0
-664.0,4,ttaa,4.0,1.0
-250.0,5,pataa,4.0,1.0
-631.0,3,paa,4.0,1.0
-561.0,2,aa,4.0,1.0
-615.0,3,taa,4.0,1.0
-196.0,5,ataat,4.0,1.0
-622.0,3,apa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-631.0,3,paa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-723.0,5,ttpaa,4.0,1.0
-615.0,3,taa,4.0,1.0
-316.0,5,pptat,4.0,1.0
-615.0,3,taa,4.0,1.0
-755.0,5,pptaa,4.0,1.0
-244.0,5,tatta,4.0,1.0
-615.0,3,taa,4.0,1.0
-244.0,5,atpat,4.0,1.0
-284.0,5,tattt,4.0,1.0
-664.0,4,ttaa,4.0,1.0
-664.0,4,ttaa,4.0,1.0
-196.0,5,ataap,4.0,1.0
-323.0,5,ppttt,4.0,1.0
-223.0,5,attta,4.0,1.0
-293.0,5,pttta,4.0,1.0
-561.0,2,aa,4.0,1.0
-723.0,5,ttpaa,4.0,1.0
-734.0,5,pttaa,4.0,1.0
-298.0,5,tptta,4.0,1.0
-685.0,4,ptaa,4.0,1.0
-247.0,5,ttata,4.0,1.0
-291.0,5,ttptt,4.0,1.0
-284.0,5,ttpta,4.0,1.0
-664.0,4,ttaa,4.0,1.0
-239.0,5,tatat,4.0,1.0
-664.0,4,ttaa,4.0,1.0
-667.0,5,ataaa,4.0,1.0
-615.0,3,taa,4.0,1.0
-734.0,5,pttaa,4.0,1.0
-664.0,4,ttaa,4.0,1.0
-305.0,5,tpttt,4.0,1.0
-288.0,5,pttap,4.0,1.0
-615.0,3,taa,4.0,1.0
-664.0,4,ttaa,4.0,1.0
-298.0,5,taptt,4.0,1.0
-718.0,5,ttapa,4.0,1.0
-718.0,5,ttapa,4.0,1.0
-718.0,5,ttapa,4.0,1.0
-284.0,5,atppt,4.0,1.0
-718.0,5,tttaa,4.0,1.0
-227.0,5,attpa,4.0,1.0
-615.0,3,taa,4.0,1.0
-723.0,5,ttpaa,4.0,1.0
-323.0,5,tpptt,4.0,1.0
-272.0,5,tttap,4.0,1.0
-288.0,5,pttap,4.0,1.0
-277.0,5,tttpa,4.0,1.0
-718.0,5,ttapa,4.0,1.0
-279.0,5,ttapp,4.0,1.0
-737.0,5,tptaa,4.0,1.0
-718.0,5,ttapa,4.0,1.0
-196.0,5,atata,4.0,1.0
-737.0,5,tptaa,4.0,1.0
-718.0,5,ttapa,4.0,1.0
-300.0,5,pttpp,4.0,1.0
-305.0,5,tpttt,4.0,1.0
-279.0,5,ttatp,4.0,1.0
-234.0,5,tataa,4.0,1.0
-615.0,3,taa,4.0,1.0
-279.0,5,ttapt,4.0,1.0
-615.0,3,taa,4.0,1.0
-615.0,3,taa,4.0,1.0
-561.0,2,aa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-266.0,5,tapta,4.0,1.0
-316.0,5,tappt,4.0,1.0
-676.0,4,tapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-307.0,5,ptpap,4.0,1.0
-676.0,4,tapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-266.0,5,tapta,4.0,1.0
-685.0,4,ptaa,4.0,1.0
-250.0,5,pataa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-291.0,5,ttppa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-622.0,3,apa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-737.0,5,tpapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-746.0,5,ptapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-746.0,5,ptapa,4.0,1.0
-316.0,5,tappt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-305.0,5,tpttt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-298.0,5,taptt,4.0,1.0
-305.0,5,tpttt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-284.0,5,tttpp,4.0,1.0
-305.0,5,tpttt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-546.0,9,ttppptapt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-305.0,5,tpttt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-204.0,5,atapp,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-284.0,5,ttttp,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-291.0,5,ttppa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-561.0,2,aa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-631.0,3,paa,4.0,1.0
-561.0,2,aa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-622.0,3,apa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-244.0,5,atpap,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-622.0,3,apa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-284.0,5,atppp,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-631.0,3,paa,4.0,1.0
-275.0,5,ptata,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-631.0,3,paa,4.0,1.0
-561.0,2,aa,4.0,1.0
-284.0,5,atppp,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-561.0,2,aa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-676.0,4,tapa,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-279.0,5,ttapp,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-279.0,5,ttapp,4.0,1.0
-300.0,5,ttppt,4.0,1.0
-272.0,5,tttap,4.0,1.0
