reward, length,actions
-0.9514285726472735,6,apttap
-1.323749994393438,14,paaappatatttap
-0.8936507967300713,13,attapptpaptat
-0.7999999728053808,20,ttatappptpptapppptat
-0.6337499949149787,18,tpaatapaapapatttaa
-0.4499999936670065,20,apptapaaaataattapppt
-0.9520000005140901,6,aptpap
-2.6014285245910287,20,aatttptttttttpttatta
-0.7999999728053808,20,tatapttttpttptptttpt
-0.4499999936670065,20,taaaapataattpptptttp
-2.9499999694526196,20,aaaaataaatttttattttt
-0.39999999664723873,20,apppaaattaaappapaapp
-1.5399999991059303,17,aaaapataaaaptptta
-6.449999991804361,20,ttaaaaaaaaaaaaaaaapa
-3.399999974295497,20,tttatattappapppppppp
-1.8999999556690454,20,aatatatppptaptpppppp
-2.349999960511923,20,aapaaaaaaaataaaaaapa
-4.349999964237213,20,aaaaaaaaaaaaapaaataa
-10.14999995753169,20,aaaaaaaaaaaaaaaaaaaa
-7.5999999567866325,20,aaaaaaaaaatttttttttt
-3.4045454137958586,11,aptttttttat
-16.600000075995922,20,aatttttttttttttttttt
-11.500000024214387,20,ttpapttttttttttttttt
-20.500000070780516,20,tttttttttttttttttttt
-11.200000001117587,20,tttttptttttttttttttt
-9.80000001564622,20,pptttttppppppppppppp
-9.399999989196658,20,ppppppppppptpppppppp
-18.50000006146729,20,pppppppppppppppppppt
-2.4028570875525475,20,pppptpapppppttppppap
-14.800000114366412,20,pppppppppppppppppapp
-11.200000001117587,20,ppppppppppppppappppp
-9.399999989196658,20,ppppppppppptpppppppp
-14.800000114366412,20,ppppppppppppppppptpp
-20.500000070780516,20,pppppppppppppppppppp
-6.801666653715074,20,ptapppptpppppppppppa
-10.14999995753169,20,aaaaaaaaaaaaaaaaaaaa
-4.499999953433871,20,aaaaaaaaapaaaaaaaaaa
-3.185714244376868,18,aaaatataatttttttat
-11.650000024586916,20,ataaattttttttttttttt
-3.2999999672174454,20,aaaaaaaaaataapaaaaaa
-6.449999991804361,20,aaaaaaaaaaaaaaaatata
-2.7999999579042196,20,taaaaaaaaataaaaaapap
-4.149999970570207,20,aaaaaaaaaaaatapaaaaa
-2.6999999582767487,20,aaaaaaaataaaaaataaaa
-3.2999999672174454,20,aaaaaataapaaaaaaaaaa
-10.14999995753169,20,aaaaaaaaaaaaaaaaaaaa
-2.299999972805381,20,paaaapaaaaaaapaaaaaa
-2.711428552865982,20,aaaaaaapaattaaaaaaaa
-4.7999999653548,20,aaaaaaaaaaaapaaaaaaa
-7.2999999653548,20,aapaaaaaaaaaaaaaaaaa
-10.14999995753169,20,aaaaaaaaaaaaaaaaaaaa
-10.14999995753169,20,aaaaaaaaaaaaaaaaaaaa
-3.8499999791383743,20,aaaaaaaaaaaataaataaa
-3.5499999970197678,20,aaaaaaaaaaapaapaaaaa
-7.2999999653548,20,aapaaaaaaaaaaaaaaaaa
-6.59999999217689,20,aaapaaaaaaaaaaaaaaaa
-6.449999991804361,20,apaaaaaaaaaaaaaaaapt
-2.6999999582767487,20,aaaaaapaaaaaaaapaaaa
-5.499999953433871,20,aaaaaaaaaaaaaataaaaa
-4.7999999653548,20,aaaaaaaaaaaapaaaaaaa
-1.8999999724328518,20,aaaaaatataaaaataaaaa
-4.499999953433871,20,aaaaaaaaataaaaaaaaaa
-5.499999953433871,20,aaaaaaaaaaaaaapaaaaa
-10.14999995753169,20,aaaaaaaaaaaaaaaaaaaa
-10.14999995753169,20,aaaaaaaaaaaaaaaaaaaa
-3.2999999672174454,20,aaaaaapaaaaaaaaaataa
-4.199999991804361,20,taaaaaaataaaaaaaaaaa
-8.199999950826168,20,ataaaaaaaaaaaaaaaaaa
-10.14999995753169,20,aaaaaaaaaaaaaaaaaaaa
-3.899999976158142,20,aaaapaapaaaaaaaaaaaa
-5.099999947473407,20,aaaaaapaaaaaaaaaaaaa
-1.709999985061586,20,aaataaaaaaataaataaaa
-3.300000002607703,20,aataaaaptaaaaaaaaaaa
-0.4412500010803342,7,ataataa
-3.5499999970197678,20,aaaaaaaaaaapaaaaapaa
-7.2999999653548,20,aaaaaaaaaaaaaaaaapaa
-3.899999976158142,20,paaaaaaaaaaaapaaaapa
-1.62124998960644,14,ataaaaaaapataa
-10.14999995753169,20,aaaaaaaaaaaaaaaaaaaa
-4.7999999560415745,20,aaaaapaaaaaaaaaaaaap
-3.8499999884516,20,apaaaaaapaaaaaaaaaaa
-6.451249991543591,20,ataaaaaaaaaaaaaaaata
-5.249999959021807,20,aaaaptaaaaaaaaaaaaaa
-3.5499999467283487,20,ataaaaaaaaapaaaaaaaa
-4.499999953433871,20,aaaaaaaaapaaaaaaaaaa
-1.0012499941512942,11,aaaaataatat
-10.14999995753169,20,aaaaaaaaaaaaaaaaaaaa
-5.249999959021807,20,aaaaaaaaaaaaaaptaaaa
-10.14999995753169,20,aaaaaaaaaaaaaaaaaaaa
-6.59999999217689,20,aaaaaaaaaaaaaaaataaa
-2.849999964237213,20,aaaaapaaaapaaaaaaaaa
